year,region,country,happiness_rank,happiness_score,social_support,health_life_expectancy,generosity,freedom_to_make_life_choices,economy_gdp_per_capita,perceptions_of_corruption
2019,Western Europe,Finland,1,7.769,1.587,0.986,0.153,0.596,1.34,0.393
2019,Western Europe,Denmark,2,7.6,1.573,0.996,0.252,0.592,1.383,0.41
2019,Western Europe,Norway,3,7.554,1.582,1.028,0.271,0.603,1.488,0.341
2019,Western Europe,Iceland,4,7.494,1.624,1.026,0.354,0.591,1.38,0.118
2019,Western Europe,Netherlands,5,7.488,1.522,0.999,0.322,0.557,1.396,0.298
2019,Western Europe,Switzerland,6,7.48,1.526,1.052,0.263,0.572,1.452,0.343
2019,Western Europe,Sweden,7,7.343,1.487,1.009,0.267,0.574,1.387,0.373
2019,Australia and New Zealand,New Zealand,8,7.307,1.557,1.026,0.33,0.585,1.303,0.38
2019,North America,Canada,9,7.278,1.505,1.039,0.285,0.584,1.365,0.308
2019,Western Europe,Austria,10,7.246,1.475,1.016,0.244,0.532,1.376,0.226
2019,Australia and New Zealand,Australia,11,7.228,1.548,1.036,0.332,0.557,1.372,0.29
2019,Latin America and Caribbean,Costa Rica,12,7.167,1.441,0.963,0.144,0.558,1.034,0.093
2019,Middle East and Northern Africa,Israel,13,7.139,1.455,1.029,0.261,0.371,1.276,0.082
2019,Western Europe,Luxembourg,14,7.09,1.479,1.012,0.194,0.526,1.609,0.316
2019,Western Europe,United Kingdom,15,7.054,1.538,0.996,0.348,0.45,1.333,0.278
2019,Western Europe,Ireland,16,7.021,1.553,0.999,0.298,0.516,1.499,0.31
2019,Western Europe,Germany,17,6.985,1.454,0.987,0.261,0.495,1.373,0.265
2019,Western Europe,Belgium,18,6.923,1.504,0.986,0.16,0.473,1.356,0.21
2019,North America,United States,19,6.892,1.457,0.874,0.28,0.454,1.433,0.128
2019,Central and Eastern Europe,Czech Republic,20,6.852,1.487,0.92,0.046,0.457,1.269,0.036
2019,Middle East and Northern Africa,United Arab Emirates,21,6.825,1.31,0.825,0.262,0.598,1.503,0.182
2019,Western Europe,Malta,22,6.726,1.52,0.999,0.375,0.564,1.3,0.151
2019,Latin America and Caribbean,Mexico,23,6.595,1.323,0.861,0.074,0.433,1.07,0.073
2019,Western Europe,France,24,6.592,1.472,1.045,0.111,0.436,1.324,0.183
2019,Eastern Asia,Taiwan,25,6.446,1.43,0.914,0.242,0.351,1.368,0.097
2019,Latin America and Caribbean,Chile,26,6.444,1.369,0.92,0.187,0.357,1.159,0.056
2019,Latin America and Caribbean,Guatemala,27,6.436,1.269,0.746,0.175,0.535,0.8,0.078
2019,Middle East and Northern Africa,Saudi Arabia,28,6.375,1.357,0.795,0.08,0.439,1.403,0.132
2019,Middle East and Northern Africa,Qatar,29,6.374,1.313,0.871,0.22,0.555,1.684,0.167
2019,Western Europe,Spain,30,6.354,1.484,1.062,0.153,0.362,1.286,0.079
2019,Latin America and Caribbean,Panama,31,6.321,1.442,0.91,0.109,0.516,1.149,0.054
2019,Latin America and Caribbean,Brazil,32,6.3,1.439,0.802,0.099,0.39,1.004,0.086
2019,Latin America and Caribbean,Uruguay,33,6.293,1.465,0.891,0.127,0.523,1.124,0.15
2019,Southeastern Asia,Singapore,34,6.262,1.463,1.141,0.271,0.556,1.572,0.453
2019,Latin America and Caribbean,El Salvador,35,6.253,1.242,0.789,0.093,0.43,0.794,0.074
2019,Western Europe,Italy,36,6.223,1.488,1.039,0.158,0.231,1.294,0.03
2019,Middle East and Northern Africa,Bahrain,37,6.199,1.368,0.871,0.255,0.536,1.362,0.11
2019,Central and Eastern Europe,Slovakia,38,6.198,1.504,0.881,0.121,0.334,1.246,0.014
2019,Latin America and Caribbean,Trinidad & Tobago,39,6.192,1.477,0.713,0.185,0.489,1.231,0.016
2019,Central and Eastern Europe,Poland,40,6.182,1.438,0.884,0.117,0.483,1.206,0.05
2019,Southern Asia,Uzbekistan,41,6.174,1.529,0.756,0.322,0.631,0.745,0.24
2019,Central and Eastern Europe,Lithuania,42,6.149,1.515,0.818,0.043,0.291,1.238,0.042
2019,Latin America and Caribbean,Colombia,43,6.125,1.41,0.841,0.099,0.47,0.985,0.034
2019,Central and Eastern Europe,Slovenia,44,6.118,1.523,0.953,0.144,0.564,1.258,0.057
2019,Latin America and Caribbean,Nicaragua,45,6.105,1.325,0.835,0.2,0.435,0.694,0.127
2019,Central and Eastern Europe,Kosovo,46,6.1,1.232,0.758,0.262,0.489,0.882,0.006
2019,Latin America and Caribbean,Argentina,47,6.086,1.432,0.881,0.066,0.471,1.092,0.05
2019,Central and Eastern Europe,Romania,48,6.07,1.232,0.825,0.083,0.462,1.162,0.005
2019,Western Europe,Cyprus,49,6.046,1.223,1.042,0.19,0.406,1.263,0.041
2019,Latin America and Caribbean,Ecuador,50,6.028,1.312,0.868,0.126,0.498,0.912,0.087
2019,Middle East and Northern Africa,Kuwait,51,6.021,1.319,0.808,0.142,0.493,1.5,0.097
2019,Southeastern Asia,Thailand,52,6.008,1.409,0.828,0.359,0.557,1.05,0.028
2019,Central and Eastern Europe,Latvia,53,5.94,1.465,0.812,0.075,0.264,1.187,0.064
2019,Eastern Asia,South Korea,54,5.895,1.219,1.036,0.175,0.159,1.301,0.056
2019,Central and Eastern Europe,Estonia,55,5.893,1.528,0.874,0.103,0.495,1.237,0.161
2019,Latin America and Caribbean,Jamaica,56,5.89,1.478,0.831,0.107,0.49,0.831,0.028
2019,Sub-Saharan Africa,Mauritius,57,5.888,1.402,0.798,0.215,0.498,1.12,0.06
2019,Eastern Asia,Japan,58,5.886,1.419,1.088,0.069,0.445,1.327,0.14
2019,Latin America and Caribbean,Honduras,59,5.86,1.236,0.828,0.246,0.507,0.642,0.078
2019,Southern Asia,Kazakhstan,60,5.809,1.508,0.729,0.146,0.41,1.173,0.096
2019,Latin America and Caribbean,Bolivia,61,5.779,1.209,0.706,0.137,0.511,0.776,0.064
2019,Central and Eastern Europe,Hungary,62,5.758,1.41,0.828,0.081,0.199,1.201,0.02
2019,Latin America and Caribbean,Paraguay,63,5.743,1.475,0.777,0.184,0.514,0.855,0.08
2019,Western Europe,Northern Cyprus,64,5.718,1.252,1.042,0.191,0.417,1.263,0.162
2019,Latin America and Caribbean,Peru,65,5.697,1.274,0.854,0.083,0.455,0.96,0.027
2019,Western Europe,Portugal,66,5.693,1.431,0.999,0.047,0.508,1.221,0.025
2019,Southern Asia,Pakistan,67,5.653,0.886,0.535,0.22,0.313,0.677,0.098
2019,Central and Eastern Europe,Russia,68,5.648,1.452,0.726,0.082,0.334,1.183,0.031
2019,Southeastern Asia,Philippines,69,5.631,1.293,0.657,0.117,0.558,0.807,0.107
2019,Central and Eastern Europe,Serbia,70,5.603,1.383,0.854,0.137,0.282,1.004,0.039
2019,Central and Eastern Europe,Moldova,71,5.529,1.328,0.739,0.181,0.245,0.685,0.0
2019,Middle East and Northern Africa,Libya,72,5.525,1.303,0.673,0.133,0.416,1.044,0.152
2019,Central and Eastern Europe,Montenegro,73,5.523,1.361,0.871,0.142,0.197,1.051,0.08
2019,Southern Asia,Tajikistan,74,5.467,1.098,0.718,0.23,0.389,0.493,0.144
2019,Central and Eastern Europe,Croatia,75,5.432,1.266,0.914,0.119,0.296,1.155,0.022
2019,Eastern Asia,Hong Kong,76,5.43,1.277,1.122,0.258,0.44,1.438,0.287
2019,Latin America and Caribbean,Dominican Republic,77,5.425,1.401,0.779,0.113,0.497,1.015,0.101
2019,Central and Eastern Europe,Bosnia and Herzegovina,78,5.386,1.212,0.845,0.263,0.212,0.945,0.006
2019,Middle East and Northern Africa,Turkey,79,5.373,1.36,0.808,0.083,0.195,1.183,0.106
